유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg),추천 점수
콜드 브루 커피,나이트로 바닐라 크림,Short,O,50.0,5.0,1.0,30.0,1.3,193.0,0
콜드 브루 커피,나이트로 바닐라 크림,Tall,O,80.0,10.0,1.0,40.0,2.0,232.0,0
콜드 브루 커피,나이트로 바닐라 크림,Grande,O,110.0,14.0,2.0,50.0,2.7,309.0,0
콜드 브루 커피,나이트로 콜드 브루,Short,X,5.0,0.0,0.0,5.0,0.0,195.0,0
콜드 브루 커피,나이트로 콜드 브루,Tall,X,5.0,0.0,0.0,5.0,0.0,245.0,0
콜드 브루 커피,나이트로 콜드 브루,Grande,X,5.0,0.0,0.0,5.0,0.0,335.0,0
콜드 브루 커피,돌체 콜드 브루,Tall,O,220.0,22.0,6.0,80.0,6.0,155.0,0
콜드 브루 커피,돌체 콜드 브루,Grande,O,305.0,32.0,9.0,110.0,8.0,205.0,0
콜드 브루 커피,돌체 콜드 브루,Venti,O,375.0,40.0,11.0,130.0,10.0,250.0,0
콜드 브루 커피,바닐라 크림 콜드 브루,Tall,O,125.0,11.0,3.0,58.0,6.0,155.0,0
콜드 브루 커피,바닐라 크림 콜드 브루,Grande,O,185.0,18.0,4.0,80.0,9.0,205.0,0
콜드 브루 커피,바닐라 크림 콜드 브루,Venti,O,200.0,22.0,4.0,83.0,9.0,250.0,0
콜드 브루 커피,시그니처 더 블랙 콜드 브루,One Size,X,25.0,0.0,0.0,50.0,0.0,680.0,0
콜드 브루 커피,오트 콜드 브루,Tall,X,120.0,14.0,1.0,95.0,0.3,65.0,0
콜드 브루 커피,오트 콜드 브루,Grande,X,160.0,19.0,2.0,130.0,0.5,85.0,0
콜드 브루 커피,오트 콜드 브루,Venti,X,190.0,23.0,2.0,150.0,0.5,85.0,0
콜드 브루 커피,콜드 브루,Tall,X,5.0,0.0,0.0,11.0,0.0,155.0,0
콜드 브루 커피,콜드 브루,Grande,X,5.0,0.0,0.0,15.0,0.0,205.0,0
콜드 브루 커피,콜드 브루,Venti,X,5.0,0.0,0.0,17.0,0.0,250.0,0
콜드 브루 커피,콜드 브루,Trenta,X,5.0,0.0,0.0,25.0,0.0,360.0,0
브루드 커피,아이스 커피,Tall,X,5.0,0.0,0.0,10.0,0.0,140.0,0
브루드 커피,아이스 커피,Short,X,5.0,0.0,0.0,10.0,0.0,190.0,0
브루드 커피,아이스 커피,Venti,X,5.0,0.0,0.0,15.0,0.0,220.0,0
브루드 커피,오늘의 커피,Short,X,5.0,0.0,0.0,10.0,0.0,180.0,0
브루드 커피,오늘의 커피,Tall,X,5.0,0.0,0.0,15.0,0.0,260.0,5
브루드 커피,오늘의 커피,Grande,X,5.0,0.0,0.0,15.0,0.0,330.0,0
브루드 커피,오늘의 커피,Venti,X,5.0,0.0,0.0,20.0,0.0,415.0,0
에스프레소,아몬드 크림 오트 라떼,Tall,O,250.0,26.0,4.0,210.0,6.0,75.0,0
에스프레소,아몬드 크림 오트 라떼,Grande,O,315.0,34.0,4.0,260.0,7.0,150.0,0
에스프레소,아몬드 크림 오트 라떼,Venti,O,400.0,43.0,5.0,340.0,9.0,150.0,0
에스프레소,아이스 아몬드 크림 오트 라떼,Tall,O,230.0,25.0,3.0,180.0,5.0,75.0,0
에스프레소,아이스 아몬드 크림 오트 라떼,Grande,O,295.0,33.0,4.0,230.0,7.0,150.0,0
에스프레소,아이스 아몬드 크림 오트 라떼,Venti,O,355.0,41.0,5.0,280.0,9.0,150.0,0
에스프레소,아이스 헤이즐넛 클라우드 모카,Tall,O,230.0,26.0,6.0,75.0,7.0,85.0,0
에스프레소,아이스 헤이즐넛 클라우드 모카,Grande,O,295.0,35.0,8.0,90.0,8.0,165.0,0
