유형,음료명,사이즈,유제품,칼로리 (kcal),당류 (g),단백질 (g),나트륨 (mg),포화지방 (g),카페인 (mg)
콜드 브루 커피,나이트로 바닐라 크림,Short,O,50,5,1,30,1.3,193
콜드 브루 커피,나이트로 바닐라 크림,Tall,O,80,10,1,40,2,232
콜드 브루 커피,나이트로 바닐라 크림,Grande,O,110,14,2,50,2.7,309
콜드 브루 커피,나이트로 콜드 브루,Short,X,5,0,0,5,0,195
콜드 브루 커피,나이트로 콜드 브루,Tall,X,5,0,0,5,0,245
콜드 브루 커피,나이트로 콜드 브루,Grande,X,5,0,0,5,0,335
콜드 브루 커피,돌체 콜드 브루,Tall,O,220,22,6,80,6,155
콜드 브루 커피,돌체 콜드 브루,Grande,O,305,32,9,110,8,205
콜드 브루 커피,돌체 콜드 브루,Venti,O,375,40,11,130,10,250
콜드 브루 커피,바닐라 크림 콜드 브루,Tall,O,125,11,3,58,6,155
콜드 브루 커피,바닐라 크림 콜드 브루,Grande,O,185,18,4,80,9,205
콜드 브루 커피,바닐라 크림 콜드 브루,Venti,O,200,22,4,83,9,250
콜드 브루 커피,시그니처 더 블랙 콜드 브루,One Size,X,25,0,0,50,0,680
콜드 브루 커피,오트 콜드 브루,Tall,X,120,14,1,95,0.3,65
콜드 브루 커피,오트 콜드 브루,Grande,X,160,19,2,130,0.5,85
콜드 브루 커피,오트 콜드 브루,Venti,X,190,23,2,150,0.5,85
콜드 브루 커피,콜드 브루,Tall,X,5,0,0,11,0,155
콜드 브루 커피,콜드 브루,Grande,X,5,0,0,15,0,205
콜드 브루 커피,콜드 브루,Venti,X,5,0,0,17,0,250
콜드 브루 커피,콜드 브루,Trenta,X,5,0,0,25,0,360
브루드 커피,아이스 커피,Tall,X,5,0,0,10,0,140
브루드 커피,아이스 커피,Short,X,5,0,0,10,0,190
브루드 커피,아이스 커피,Venti,X,5,0,0,15,0,220
브루드 커피,오늘의 커피,Short,X,5,0,0,10,0,180
브루드 커피,오늘의 커피,Tall,X,5,0,0,15,0,260
브루드 커피,오늘의 커피,Grande,X,5,0,0,15,0,330
브루드 커피,오늘의 커피,Venti,X,5,0,0,20,0,415
에스프레소,아몬드 크림 오트 라떼,Tall,O,250,26,4,210,6,75
에스프레소,아몬드 크림 오트 라떼,Grande,O,315,34,4,260,7,150
에스프레소,아몬드 크림 오트 라떼,Venti,O,400,43,5,340,9,150
에스프레소,아이스 아몬드 크림 오트 라떼,Tall,O,230,25,3,180,5,75
에스프레소,아이스 아몬드 크림 오트 라떼,Grande,O,295,33,4,230,7,150
에스프레소,아이스 아몬드 크림 오트 라떼,Venti,O,355,41,5,280,9,150
에스프레소,아이스 헤이즐넛 클라우드 모카,Tall,O,230,26,6,75,7,85
에스프레소,아이스 헤이즐넛 클라우드 모카,Grande,O,295,35,8,90,8,165
에스프레소,아이스 헤이즐넛 클라우드 모카,Venti,O,340,43,9,95,9,170
에스프레소,헤이즐넛 클라우드 모카,Tall,O,290,31,9,130,9,85
에스프레소,헤이즐넛 클라우드 모카,Grande,O,370,41,12,150,11,165
에스프레소,헤이즐넛 클라우드 모카,Venti,O,475,55,15,210,13,170
에스프레소,에스프레소 콘 파나,Solo,O,30,0,1,5,2,75
에스프레소,에스프레소 콘 파나,Doppio,O,35,0,1,5,2,150
에스프레소,에스프레소 마키아또,Solo,O,10,0,0,0,0,75
